location_1,email_domain,count
"Kent, Washington",gmail.com,47
"Jersey City, New Jersey",aol.com,47
"San Antonio, Texas",att.net,47
"Staten Island, New York",yahoo.com,46
"Kent, Washington",yahoo.com,46
"Boynton Beach, Florida",yahoo.com,46
"Cary, North Carolina",gmail.com,46
"Quincy, Illinois",yahoo.com,46
"Corona, California",yahoo.com,46
"Compton, California",yahoo.com,46
"Idaho Falls, Idaho",hotmail.com,46
"Baton Rouge, Louisiana",cox.net,46
"Yonkers, New York",gmail.com,46
"Long Beach, California",hotmail.com,46
"Brownsville, Texas",gmail.com,46
"Miramar, Florida",yahoo.com,46
"Elgin, Illinois",gmail.com,46
"New Haven, Connecticut",hotmail.com,45
"Ogden, Utah",gmail.com,45
"Kissimmee, Florida",gmail.com,45
"Grand Rapids, Michigan",yahoo.com,45
"Mobile, Alabama",yahoo.com,45
"Corona, California",gmail.com,45
"Danville, Illinois",yahoo.com,45
"Norwalk, Connecticut",gmail.com,44
"Hialeah, Florida",gmail.com,44
"Providence, Rhode Island",gmail.com,44
"Lawrenceville, Georgia",yahoo.com,44
"Euclid, Ohio",yahoo.com,44
"Lexington, Kentucky",gmail.com,44
"Marietta, Georgia",gmail.com,44
"Hoover, Alabama",gmail.com,44
"Hayward, California",gmail.com,44
"North Bergen, New Jersey",yahoo.com,44
"Tallahassee, Florida",yahoo.com,43
"Dearborn, Michigan",hotmail.com,43
"Tulsa, Oklahoma",hotmail.com,43
"Clearwater, Florida",gmail.com,43
"Anaheim, California",hotmail.com,43
"Coeur d'Alene, Idaho",yahoo.com,43
"Lawrenceville, Georgia",gmail.com,43
"Arlington, Virginia",yahoo.com,42
"Albany, New York",gmail.com,42
"Pocatello, Idaho",yahoo.com,42
"Guatemala City, Guatemala",hotmail.com,42
"Woodbridge, Virginia",yahoo.com,42
"Plano, Texas",yahoo.com,42
"Hoover, Alabama",yahoo.com,42
"Federal Way, Washington",yahoo.com,42
"Tampa, Florida",aol.com,42
"Des Moines, Iowa",gmail.com,42
"Homestead, Florida",gmail.com,42
"Bayonne, New Jersey",yahoo.com,42
"Irving, Texas",yahoo.com,42
"Greensboro, North Carolina",yahoo.com,42
"Stamford, Connecticut",hotmail.com,42
"Asheville, North Carolina",gmail.com,41
St. Louis,hotmail.com,41
"Decatur, Illinois",gmail.com,41
"Syracuse, New York",gmail.com,41
"Union City, New Jersey",hotmail.com,41
"Wilmington, Delaware",gmail.com,41
"Bayonne, New Jersey",gmail.com,41
"Passaic, New Jersey",hotmail.com,41
"Palmdale, California",gmail.com,41
"Dallas, Texas",aol.com,41
"Oakland, California",hotmail.com,41
